Variable name OGLE-III ID     OGLE-IV ID       RA(2000.0)  Dec(2000.0) <V>    <I>    A_V   A_I   t_III(BJD) P_III            t_IV(BJD)  P_IV             r           R_21 phi_21 R_31 phi_31
                                                                       [mag]  [mag]  [mag] [mag]            [d]                         [d]              [10^-7 y^-1]                       
                                                                                                                                                                                             
OGLE-BLAP-001 CAR110.5.8021         -          10:41:48.77 -61:25:08.5 17.706 17.223 0.411 0.236 2453486.51 0.0196215413(49) 2457477.49 0.019621603(73)  +2.9(3.7)   0.394 4.207 0.101 2.111
OGLE-BLAP-002       -         BLG629.31.72007  17:43:58.02 -19:16:54.1 18.892 17.953 0.317 0.357     -             -         2455935.07 0.0161708074(15)      -      0.687 3.973 0.313 1.785
OGLE-BLAP-003 BLG347.3.100970 BLG633.30.129339 17:44:51.48 -24:10:04.0 19.195 18.103 0.273 0.229 2453090.95 0.0197622943(44) 2456564.84 0.0197623098(16) +0.82(0.32) 0.440 3.684 0.176 1.547
OGLE-BLAP-004       -         BLG637.03.113705 17:51:04.72 -22:09:03.4 18.813 17.528 0.426 0.261     -             -         2456418.24 0.0155254790(11)      -      0.444 3.835 0.130 1.383
OGLE-BLAP-005 BLG163.7.78726  BLG535.28.81165  17:52:18.73 -31:56:35.0 19.989 18.767 0.333 0.298 2453803.54 0.0189260271(19) 2456384.99 0.0189260355(16) +0.63(0.26) 0.475 4.088 0.161 2.013
OGLE-BLAP-006 BLG101.2.295494 BLG501.08.44012  17:55:02.88 -29:50:37.5 18.354 17.384 0.279 0.231 2453650.25 0.0263994273(28) 2456463.97 0.0263993532(58) -3.64(0.42) 0.636 4.151 0.333 1.868
OGLE-BLAP-007 BLG205.6.1472   BLG505.31.154223 17:55:57.52 -28:52:11.0 19.268 18.456 0.330 0.282 2454002.98 0.0244317279(41) 2456442.45 0.0244316886(42) -2.40(0.51) 0.500 4.020 0.286 1.545
OGLE-BLAP-008 BLG157.6.62071  BLG508.30.63986  17:56:48.26 -32:21:35.6 18.732 17.590 0.284 0.194 2453820.28 0.0239451888(21) 2456271.54 0.0239452227(22) +2.11(0.27) 0.533 4.325 0.317 2.218
OGLE-BLAP-009 BLG232.8.165260 BLG645.02.86575  17:58:48.20 -27:16:53.7 15.650 15.071 0.286 0.241 2453775.20 0.0221772400(8)  2456469.30 0.0221772667(5)  +1.63(0.08) 0.415 4.144 0.113 2.239
OGLE-BLAP-010 BLG120.3.111480 BLG510.19.69352  17:58:59.22 -35:18:07.0 17.231 16.919 0.383 0.344 2452629.23 0.0223145503(33) 2456206.45 0.0223145599(14) +0.44(0.21) 0.606 4.512 0.372 2.463
OGLE-BLAP-011       -         BLG539.25.52675  18:00:23.24 -35:58:03.1 17.254 16.977 0.222 0.286     -             -         2455931.68 0.0242186540(51)      -      0.553 4.040 0.329 1.910
OGLE-BLAP-012 BLG190.2.42806  BLG521.25.110265 18:05:44.20 -30:11:15.2 18.263 17.622 0.350 0.343 2453780.42 0.0214560733(11) 2456306.89 0.0214560737(12) +0.03(0.15) 0.678 3.827 0.411 1.443
OGLE-BLAP-013 BLG234.4.213851 BLG518.16.36044  18:05:52.70 -26:48:18.0 19.244 18.190 0.249 0.221 2454202.53 0.0273092616(86) 2456428.92 0.0273093890(26) +7.65(0.67) 0.588 4.323 0.279 1.709
OGLE-BLAP-014 BLG178.3.63692  BLG526.14.92010  18:12:41.79 -31:12:07.8 16.793 16.680 0.339 0.264 2452603.15 0.0233492833(81) 2456303.20 0.0233493974(12) +4.82(0.39) 0.441 4.478 0.247 2.526
