OGLE-BLG-T2CEP-001  14.176 15.759   3.9983508 0.0000897  7003.60981  0.595  0.265 5.672  0.140 5.349
OGLE-BLG-T2CEP-002  13.909 15.188   2.2684194 0.0000223  7001.66959  0.215  0.127 4.582  0.107 2.974
OGLE-BLG-T2CEP-003  15.061 16.519   1.4844493 0.0000087  7001.29935  0.656  0.374 4.368  0.017 3.226
OGLE-BLG-T2CEP-004  14.856 16.404   1.2118999 0.0000096  7000.72236  0.238  0.216 5.457  0.000   -  
OGLE-BLG-T2CEP-005  16.842 18.666   2.0075505 0.0000144  7000.16978  0.442  0.167 5.532  0.073 3.000
OGLE-BLG-T2CEP-006  13.352 14.728   7.6364832 0.0001138  7001.61511  0.576  0.066 4.615  0.078 2.128
OGLE-BLG-T2CEP-007  15.530 17.452   1.8174741 0.0000015  7001.24221  0.571  0.338 4.846  0.202 2.165
OGLE-BLG-T2CEP-008  15.970 17.765   1.1829551 0.0000098  7000.48863  0.293  0.287 5.208  0.041 4.329
OGLE-BLG-T2CEP-009  15.657 17.620   1.8960190 0.0000011  7000.73331  0.350  0.097 5.111  0.154 2.503
OGLE-BLG-T2CEP-010  14.969 16.639   1.9146565 0.0000099  7001.73370  0.408  0.126 5.431  0.122 2.635
OGLE-BLG-T2CEP-011  13.466 15.538  15.3877900 0.0006631  7000.35700  0.650  0.118 1.679  0.104 2.514
OGLE-BLG-T2CEP-012  14.533 15.968   1.4769841 0.0000029  7000.07387  0.382  0.117 5.128  0.208 1.292
OGLE-BLG-T2CEP-013  16.212 18.554   1.5170599 0.0000007  7001.15015  0.621  0.223 5.128  0.172 2.290
OGLE-BLG-T2CEP-014  13.627 15.308   1.2387596 0.0000004  7000.18222  0.522  0.266 4.535  0.105 0.666
OGLE-BLG-T2CEP-015  15.939 18.079   1.2793812 0.0000009  7000.56441  0.179  0.183 5.550  0.026 0.384
OGLE-BLG-T2CEP-016  15.741 18.121   1.9182298 0.0000005  7000.82071  0.386  0.129 5.389  0.125 2.757
OGLE-BLG-T2CEP-017  16.285 18.515   1.0979378 0.0000003  7000.80190  0.564  0.325 4.717  0.118 2.816
OGLE-BLG-T2CEP-018  16.053 18.214   1.6199481 0.0000005  7000.14486  0.697  0.219 5.267  0.139 2.632
OGLE-BLG-T2CEP-019  13.195 16.164  34.8869297 0.0013511  7004.62414  0.648  0.197 5.942  0.071 5.362
OGLE-BLG-T2CEP-020  15.809 17.988   1.6605272 0.0000005  7000.25350  0.562  0.329 4.694  0.119 1.341
OGLE-BLG-T2CEP-021  14.167 15.910   3.4250305 0.0000061  7003.28155  0.609  0.267 5.087  0.108 3.544
OGLE-BLG-T2CEP-022  16.409 18.621   1.0485871 0.0000009  7000.00398  0.128  0.189 5.669  0.057 5.846
OGLE-BLG-T2CEP-023  13.597 16.133  14.8916402 0.0001420  7011.80104  0.800  0.114 0.481  0.062 3.026
OGLE-BLG-T2CEP-024  13.633 16.505  40.3063119 0.0032330  7018.53462  0.645  0.142 5.914  0.075 0.778
OGLE-BLG-T2CEP-025  13.712 15.827  10.1373458 0.0002262  7005.41093  0.209  0.134 1.284  0.035 1.641
OGLE-BLG-T2CEP-026  16.858 19.237   2.3446069 0.0000367  7001.74578  0.472  0.238 5.684  0.053 5.643
OGLE-BLG-T2CEP-027  13.421    -    15.4257380 0.0012708  7001.53777  0.697  0.065 1.835  0.063 2.653
OGLE-BLG-T2CEP-028  16.846 19.119  11.3827451 0.0001102  7008.45568  0.812  0.164 2.075  0.048 2.496
OGLE-BLG-T2CEP-029  15.257 16.753   1.4976179 0.0000013  7000.18108  0.437  0.329 5.169  0.072 3.899
OGLE-BLG-T2CEP-030  15.714 17.660   1.1714354 0.0000005  7001.14958  0.570  0.267 4.705  0.116 0.286
OGLE-BLG-T2CEP-031  11.619 13.518  14.8296445 0.0068725  7011.43485  1.033  0.428 5.697  0.040 3.777
OGLE-BLG-T2CEP-032  13.158 15.362  16.3131046 0.0001545  7015.95854  0.853  0.044 0.209  0.061 3.104
OGLE-BLG-T2CEP-033  14.184 16.285   7.0336027 0.0000629  7005.50004  0.250  0.191 0.114  0.048 0.222
OGLE-BLG-T2CEP-034  13.725 16.183  22.4469511 0.0007357  7017.39555  0.997  0.188 6.163  0.027 5.088
OGLE-BLG-T2CEP-035  15.099 16.935   1.9308155 0.0000034  7001.64796  0.576  0.165 5.040  0.093 2.623
OGLE-BLG-T2CEP-036  14.853 16.860   3.6947078 0.0000066  7003.10324  0.500  0.221 4.959  0.076 3.162
OGLE-BLG-T2CEP-037  15.787 17.849   1.3788726 0.0000007  7000.08082  0.418  0.306 5.374  0.076 4.065
OGLE-BLG-T2CEP-038  14.181 16.991  15.2177794 0.0007226  7001.95411  0.676  0.082 1.937  0.053 2.465
OGLE-BLG-T2CEP-039  14.786 16.775   2.7553995 0.0000015  7001.09828  0.616  0.294 5.196  0.160 3.845
OGLE-BLG-T2CEP-040  15.962    -     1.6627338 0.0000010  7000.97567  0.453  0.095 5.141  0.180 2.136
OGLE-BLG-T2CEP-041  15.906 17.802   1.0892394 0.0000011  7000.92508  0.227  0.225 5.646  0.078 5.427
OGLE-BLG-T2CEP-043  13.254 14.811  17.1689176 0.0003892  7008.25675  0.987  0.414 5.824  0.155 3.887
OGLE-BLG-T2CEP-044  13.453 15.324  10.1880760 0.0007225  7004.21947  0.564  0.193 5.710  0.042 5.978
OGLE-BLG-T2CEP-045  14.196 16.602  19.3131659 0.0005708  7007.03130  0.915  0.129 6.188  0.011 3.555
OGLE-BLG-T2CEP-046  13.685 15.793  14.7976364 0.0003329  7009.97611  0.773  0.146 1.070  0.110 1.968
OGLE-BLG-T2CEP-047  15.045 17.364   4.7948362 0.0000084  7002.01715  0.586  0.306 5.591  0.057 5.186
OGLE-BLG-T2CEP-048  15.524 16.992   1.5233428 0.0000014  7000.04044  0.625  0.301 4.470  0.051 0.382
OGLE-BLG-T2CEP-049  12.122 14.039  31.1660562 0.0181929  7011.93318  0.454  0.163 0.134  0.331 2.668
OGLE-BLG-T2CEP-050  15.223 16.867   1.3978113 0.0000010  7000.76307  0.332  0.138 6.096  0.150 0.193
OGLE-BLG-T2CEP-051  14.895 16.445   1.2094675 0.0000004  7001.02660  0.620  0.282 4.576  0.112 2.876
OGLE-BLG-T2CEP-052  14.340 16.131   3.0886741 0.0000024  7000.00158  0.548  0.264 5.500  0.140 4.340
OGLE-BLG-T2CEP-053  13.618 15.504  12.3230593 0.0003448  7006.21873  0.366  0.105 1.314  0.075 2.032
OGLE-BLG-T2CEP-054  14.795 16.396   1.2836893 0.0000005  7000.88096  0.657  0.329 4.310  0.083 5.768
OGLE-BLG-T2CEP-055  14.991 17.504   7.0745143 0.0000186  7006.44447  0.608  0.106 5.624  0.047 1.848
OGLE-BLG-T2CEP-056  15.806 17.281  20.9894687 0.0028505  7016.63212  0.393  0.199 5.986  0.039 5.439
OGLE-BLG-T2CEP-057  13.605 15.200   8.7919856 0.0000689  7000.38976  0.566  0.165 5.372  0.095 3.522
OGLE-BLG-T2CEP-058  15.546 17.086   1.0512574 0.0000007  7000.61870  0.417  0.344 5.129  0.163 3.871
OGLE-BLG-T2CEP-059  12.656 14.304  12.6101147 0.0003197  7010.63046  0.812  0.275 5.967  0.041 2.305
OGLE-BLG-T2CEP-060  15.659 17.498   1.3323124 0.0000006  7000.09607  0.580  0.238 4.495  0.078 4.922
OGLE-BLG-T2CEP-061  16.265 18.232   1.1185485 0.0000007  7000.54737  0.394  0.217 4.532  0.040 5.642
OGLE-BLG-T2CEP-062  14.166 15.466   1.0094638 0.0000003  7000.26489  0.265  0.293 5.459  0.090 5.025
OGLE-BLG-T2CEP-063  12.864 14.721  12.2182995 0.0002375  7005.55748  0.883  0.438 5.380  0.032 4.054
OGLE-BLG-T2CEP-064  15.381    -    16.5676611 0.0042547  7002.88968  0.796  0.165 1.213  0.071 3.187
OGLE-BLG-T2CEP-065  16.162 18.402   1.0346944 0.0000008  7000.98401  0.248  0.217 5.299  0.045 4.594
OGLE-BLG-T2CEP-066  16.638 21.481  10.5414944 0.0000912  7007.08288  0.202  0.110 1.278  0.035 1.942
OGLE-BLG-T2CEP-067  16.088 18.554   1.7416384 0.0000018  7000.78501  0.454  0.177 5.430  0.142 2.663
OGLE-BLG-T2CEP-068  15.725    -    32.3340286 0.0291483  7026.96270  0.637  0.238 4.971  0.091 5.285
OGLE-BLG-T2CEP-069  16.557 18.245   1.7811653 0.0000023  7000.08186  0.462  0.219 5.181  0.179 2.395
OGLE-BLG-T2CEP-071  15.886 20.750  15.7534894 0.0003178  7003.45877  0.883  0.129 0.707  0.074 2.427
OGLE-BLG-T2CEP-072  17.136 21.330   1.5513979 0.0000006  7000.52129  0.582  0.344 4.237  0.047 1.114
OGLE-BLG-T2CEP-073  18.370    -    12.1088406 0.0000793  7010.42014  0.622  0.186 0.387  0.119 1.663
OGLE-BLG-T2CEP-074  16.648 19.797   2.3095009 0.0000012  7000.11820  0.449  0.193 5.621  0.080 3.735
OGLE-BLG-T2CEP-075  16.515 19.286   1.3900571 0.0000005  7001.23712  0.602  0.274 4.470  0.044 5.392
OGLE-BLG-T2CEP-076  15.837 17.914   1.3399483 0.0000040  7000.20886  0.663  0.320 4.297  0.064 3.829
OGLE-BLG-T2CEP-077  14.757    -     5.9418331 0.0001765  7004.85755  0.195  0.314 4.842  0.024 6.165
OGLE-BLG-T2CEP-078  18.152    -    16.7107943 0.0001230  7005.06268  0.915  0.153 0.430  0.041 2.796
OGLE-BLG-T2CEP-079  12.606 14.504  25.4951931 0.0012676  7010.50049  1.185  0.175 5.995  0.021 2.483
OGLE-BLG-T2CEP-080  14.969 16.150   1.0494300 0.0000006  7000.50450  0.343  0.325 5.122  0.088 3.587
OGLE-BLG-T2CEP-081  17.123    -     4.2889851 0.0000052  7001.51334  0.479  0.249 5.709  0.094 5.175
OGLE-BLG-T2CEP-082  16.835 20.240   1.7828614 0.0000006  7001.72748  0.425  0.157 5.367  0.156 2.561
OGLE-BLG-T2CEP-083  13.278 14.801  22.4972537 0.0015387  7014.25468  0.937  0.112 0.131  0.041 2.149
OGLE-BLG-T2CEP-084  13.310 16.909  66.4314550 0.0102827  7043.23678  0.371  0.154 0.912  0.030 5.541
OGLE-BLG-T2CEP-085  14.622 16.183   2.2593119 0.0000074  7001.97030  0.605  0.253 5.116  0.152 3.417
OGLE-BLG-T2CEP-086  13.814 15.319  14.9642601 0.0015318  7012.42985  0.286  0.068 1.522  0.036 2.451
OGLE-BLG-T2CEP-087  14.898 17.784   7.9162424 0.0000365  7003.72481  0.215  0.166 6.212  0.048 5.941
OGLE-BLG-T2CEP-088  13.310 15.321  25.7337397 0.0011060  7001.86146  1.324  0.185 5.937  0.007 5.323
OGLE-BLG-T2CEP-089  14.766 16.056   1.4742338 0.0000008  7001.47008  0.360  0.062 6.028  0.028 0.708
OGLE-BLG-T2CEP-090  16.473 19.563   1.5010615 0.0000003  7000.32779  0.737  0.411 4.255  0.056 0.932
OGLE-BLG-T2CEP-091  16.302    -    27.5354960 0.0007052  7016.96521  0.822  0.343 5.677  0.132 4.371
OGLE-BLG-T2CEP-092  17.577 21.237  24.5798505 0.0009606  7003.38151  0.656  0.382 5.842  0.174 4.659
OGLE-BLG-T2CEP-093  15.783 20.395  14.9097802 0.0000512  7002.90417  0.916  0.132 0.623  0.081 2.717
OGLE-BLG-T2CEP-094  15.127 19.078  12.1518790 0.0000415  7004.85647  0.514  0.153 0.836  0.077 2.262
OGLE-BLG-T2CEP-095  13.025 16.198  52.4554666 0.0068515  7006.54203  0.521  0.138 5.508  0.066 5.960
OGLE-BLG-T2CEP-096  18.218    -     2.3398771 0.0000020  7001.33176  0.482  0.200 5.613  0.075 3.821
OGLE-BLG-T2CEP-097  14.666 18.466  15.0922893 0.0000547  7009.40853  0.852  0.146 0.240  0.067 3.629
OGLE-BLG-T2CEP-098  14.633 18.396  16.6268592 0.0000692  7003.98297  0.925  0.122 0.328  0.045 3.086
OGLE-BLG-T2CEP-100  16.819 19.172   2.8748156 0.0000101  7000.65428  0.361  0.270 5.547  0.019 1.207
OGLE-BLG-T2CEP-101  14.189 17.142  14.9535528 0.0000582  7008.34554  0.881  0.145 0.373  0.062 3.095
OGLE-BLG-T2CEP-102  12.375 14.231  27.1954181 0.0044819  7006.38630  0.865  0.403 5.892  0.234 4.448
OGLE-BLG-T2CEP-103  17.415    -     3.9378832 0.0000099  7003.83852  0.281  0.243 5.566  0.093 4.293
OGLE-BLG-T2CEP-104  14.839 15.949   1.4849959 0.0000005  7001.39055  0.726  0.386 4.185  0.083 0.495
OGLE-BLG-T2CEP-105  14.615 16.699   7.7638691 0.0000972  7003.99781  0.167  0.126 5.535  0.023 4.768
OGLE-BLG-T2CEP-106  17.135 20.634   1.2670135 0.0000003  7001.04825  0.629  0.253 4.496  0.113 3.603
OGLE-BLG-T2CEP-107  15.506 20.130  14.9246336 0.0000380  7008.92985  0.788  0.096 0.422  0.065 3.306
OGLE-BLG-T2CEP-108  15.675 16.853   1.6386000 0.0000011  7000.89364  0.503  0.179 5.361  0.149 2.431
OGLE-BLG-T2CEP-109  12.096 13.595  17.5133679 0.0018158  7006.89763  0.923  0.084 6.064  0.061 3.658
OGLE-BLG-T2CEP-110  14.728 18.179  30.7176252 0.0013588  7002.03790  0.349  0.202 5.485  0.041 4.028
OGLE-BLG-T2CEP-111  14.338 17.644  12.3645128 0.0000857  7011.82600  0.777  0.416 5.095  0.062 3.972
OGLE-BLG-T2CEP-112  15.787 18.632   8.7105677 0.0000434  7007.29683  0.350  0.207 6.110  0.047 5.512
OGLE-BLG-T2CEP-113  16.713 20.436   1.9441213 0.0000007  7000.96815  0.577  0.318 5.508  0.131 3.785
OGLE-BLG-T2CEP-114  13.418 14.622   9.4730430 0.0006633  7006.82659  0.584  0.285 5.719  0.066 5.929
OGLE-BLG-T2CEP-115  14.663 16.711   3.2007423 0.0000023  7002.86474  0.638  0.331 5.324  0.134 4.291
OGLE-BLG-T2CEP-116  16.339 19.797   2.1461272 0.0000007  7000.38227  0.701  0.247 5.276  0.107 3.447
OGLE-BLG-T2CEP-117  14.632 17.604   9.5008230 0.0000534  7000.71312  0.169  0.148 0.996  0.034 1.907
OGLE-BLG-T2CEP-118  13.887 15.833   9.8918680 0.0000813  7007.62147  0.317  0.187 0.438  0.076 0.615
OGLE-BLG-T2CEP-119  18.798 21.745   2.8844775 0.0000141  7001.21700  0.300  0.353 4.788  0.044 4.111
OGLE-BLG-T2CEP-120  14.494 16.965   6.8914511 0.0000148  7004.52123  0.563  0.065 5.507  0.057 1.250
OGLE-BLG-T2CEP-121  14.526 16.976   9.5074901 0.0000878  7000.83529  0.195  0.155 1.066  0.048 1.435
OGLE-BLG-T2CEP-122  16.120 19.930   3.6949322 0.0000016  7003.01592  0.639  0.254 5.003  0.111 3.081
OGLE-BLG-T2CEP-123  14.437 17.721  10.3460645 0.0000782  7000.41940  0.230  0.117 1.244  0.036 1.831
OGLE-BLG-T2CEP-124  14.584 18.040  13.1373279 0.0001623  7011.38521  0.391  0.134 1.164  0.052 2.163
OGLE-BLG-T2CEP-125  16.292 19.933   2.2929547 0.0000013  7000.26658  0.406  0.170 5.516  0.091 3.386
OGLE-BLG-T2CEP-126  14.564 17.601   9.6457167 0.0000652  7008.71976  0.174  0.137 0.190  0.023 0.274
