OGLE-LMC-CEP-0024  14.671 15.394   5.0930109 0.0000781  6000.53380  0.125  0.091 4.542  0.025   -    3.6315623 0.0000274  6000.04794  0.200  0.115 3.816  0.062 0.512
OGLE-LMC-CEP-0036  16.446    -     1.5738216 0.0000077  6000.28193  0.228  0.473 1.693  0.467 4.640  1.1419504 0.0000037  6000.79579  0.191  0.189 4.330  0.054 2.144
OGLE-LMC-CEP-0083  17.594 18.215   0.5805540 0.0000048  6000.20608  0.081  0.183 4.802  0.000   -    0.4397934 0.0000008  6000.02801  0.255  0.163 2.593  0.173 0.422
OGLE-LMC-CEP-0112  16.208 16.925   1.8946075 0.0000113  6000.93586  0.151  0.162 4.535  0.032 2.493  1.3709895 0.0000052  6000.05152  0.185  0.196 4.595  0.049 2.931
OGLE-LMC-CEP-0200  16.054 16.654   1.8961219 0.0000134  6001.37344  0.111  0.131 4.372  0.027 3.777  1.3715423 0.0000040  6000.87290  0.191  0.192 4.547  0.045 2.839
OGLE-LMC-CEP-0261  15.907 16.698   2.4382615 0.0000204  6000.52189  0.209  0.211 4.677  0.045 2.827  1.7540073 0.0000113  6000.76001  0.186  0.223 5.091  0.063 3.727
OGLE-LMC-CEP-0355  16.233 17.162   2.2143844 0.0000185  6000.87776  0.183  0.193 4.497  0.047 2.901  1.5972107 0.0000103  6001.02827  0.155  0.179 4.521  0.042 2.685
OGLE-LMC-CEP-0432  14.911 15.638   3.8840025 0.0000312  6000.17521  0.212  0.175 4.437  0.031 2.499  2.7933286 0.0000176  6000.39551  0.197  0.088 5.062  0.000   -  
OGLE-LMC-CEP-0507  16.849 17.461   0.9850072 0.0000146  6000.38446  0.042  0.000   -    0.000   -    0.7277207 0.0000016  6000.08129  0.191  0.181 3.510  0.125 1.169
OGLE-LMC-CEP-0532  16.071 16.727   1.7875881 0.0000125  6001.18472  0.237  0.218 4.404  0.047 2.873  1.2958395 0.0000076  6001.04208  0.212  0.208 4.623  0.056 2.543
OGLE-LMC-CEP-0550  15.199 15.911   3.2351712 0.0000235  6003.00884  0.236  0.188 4.426  0.041 2.630  2.3038029 0.0000161  6000.71989  0.178  0.117 5.038  0.026 3.176
OGLE-LMC-CEP-0562  16.044 16.705   1.8070044 0.0000162  6000.20762  0.134  0.119 4.681  0.000   -    1.3082391 0.0000059  6000.90195  0.165  0.203 4.456  0.062 2.340
OGLE-LMC-CEP-0566  15.462 16.168   2.8040827 0.0000238  6002.13848  0.264  0.225 4.462  0.055 2.771  2.0143488 0.0000178  6000.71810  0.191  0.138 5.008  0.028 3.959
OGLE-LMC-CEP-0623  15.613    -     2.4774706 0.0000158  6001.27486  0.473  0.246 4.659  0.177 3.337  1.7829716 0.0000439  6001.42923  0.231  0.176 5.092  0.041 3.568
OGLE-LMC-CEP-0653  16.051 16.722   1.9041526 0.0000124  6000.09117  0.140  0.152 4.399  0.026 2.096  1.3769595 0.0000047  6001.20791  0.187  0.192 4.569  0.052 2.559
OGLE-LMC-CEP-0742  16.027 16.701   1.8075637 0.0000161  6000.55597  0.264  0.232 4.349  0.073 2.517  1.3076402 0.0000097  6000.01589  0.236  0.265 4.633  0.073 3.054
OGLE-LMC-CEP-0832  14.883 15.582   3.8927825 0.0000297  6003.66622  0.214  0.177 4.477  0.038 2.758  2.7963340 0.0000167  6002.22854  0.198  0.056 5.084  0.000   -  
OGLE-LMC-CEP-0856  16.467 17.162   1.1846376 0.0000074  6000.96810  0.188  0.211 4.250  0.052 2.469  0.8692576 0.0000044  6000.13948  0.199  0.179 4.142  0.053 1.007
OGLE-LMC-CEP-0894  14.980 15.621   3.5261093 0.0000290  6001.91090  0.173  0.126 4.481  0.030 2.973  2.5181375 0.0000128  6001.60116  0.208  0.076 5.465  0.022 4.413
OGLE-LMC-CEP-0901  16.241 16.806   1.4215181 0.0000096  6001.03394  0.352  0.282 4.072  0.099 1.889  1.0456477 0.0000111  6000.73971  0.172  0.135 4.566  0.000   -  
OGLE-LMC-CEP-0937  15.509 16.213   2.7825559 0.0000231  6000.68676  0.260  0.226 4.542  0.063 2.869  2.0031495 0.0000167  6000.79970  0.191  0.106 5.086  0.018 3.743
OGLE-LMC-CEP-0956  14.879 15.495   3.8349724 0.0000282  6000.16237  0.251  0.209 4.515  0.044 3.079  2.7325227 0.0000211  6000.62441  0.181  0.077 5.100  0.032 3.740
OGLE-LMC-CEP-1043  14.906 15.612   4.0657113 0.0000250  6001.99500  0.215  0.165 4.514  0.022 2.952  2.9095128 0.0000168  6000.43334  0.182  0.022 3.743  0.021 5.131
OGLE-LMC-CEP-1064  14.997 15.675   3.7003534 0.0000245  6001.24809  0.233  0.186 4.585  0.045 2.966  2.6536376 0.0000152  6002.27860  0.197  0.019 5.112  0.000   -  
OGLE-LMC-CEP-1082  13.925 14.586   7.8629519 0.0006405  6007.34879  0.021  0.000   -    0.000   -    5.5650591 0.0000300  6001.11685  0.184  0.203 4.704  0.071 3.208
OGLE-LMC-CEP-1221  16.548 17.242   1.3335561 0.0000140  6000.50922  0.062  0.091 4.446  0.000   -    0.9718430 0.0000021  6000.03381  0.186  0.193 3.841  0.067 1.726
OGLE-LMC-CEP-1242  16.026 16.799   2.2809133 0.0000209  6001.63035  0.186  0.186 4.642  0.017   -    1.6466466 0.0000088  6000.84705  0.221  0.215 4.973  0.058 3.835
OGLE-LMC-CEP-1380  15.348 16.066   3.1708921 0.0000372  6000.09468  0.092  0.100 4.562  0.000   -    2.2734137 0.0000122  6002.14749  0.145  0.147 5.345  0.040 4.624
