OGLE-LMC-T2CEP-001  BLHer  04:38:15.33 -68:15:32.0  LMC539.30.471    LMC154.1.4967                   
OGLE-LMC-T2CEP-002   WVir  04:42:33.96 -68:37:03.7  LMC539.20.83     LMC148.3.131                    
OGLE-LMC-T2CEP-003  RVTau  04:43:05.55 -66:49:36.1  LMC541.05.12     LMC145.6.3272                   
OGLE-LMC-T2CEP-004  BLHer  04:44:43.68 -68:05:21.3  LMC539.27.10333  LMC147.2.8596                   
OGLE-LMC-T2CEP-005  RVTau  04:48:08.33 -69:51:14.2  LMC531.06.30     LMC143.2.10081                  LMV1314 HV12455
OGLE-LMC-T2CEP-006  BLHer  04:49:48.87 -67:25:20.6  LMC533.07.10621  LMC139.3.412                    
OGLE-LMC-T2CEP-007  BLHer  04:50:50.45 -69:19:23.6  LMC531.13.17693  LMC135.7.21276                  
OGLE-LMC-T2CEP-008  BLHer  04:50:54.81 -69:50:40.0  LMC531.05.4686                                   
OGLE-LMC-T2CEP-009  BLHer  04:52:40.07 -67:09:24.3                   LMC131.8.558                    
OGLE-LMC-T2CEP-010  BLHer  04:54:10.60 -68:33:26.9  LMC532.04.6617   LMC134.3.20792                  
OGLE-LMC-T2CEP-011  RVTau  04:54:38.70 -67:30:12.2  LMC532.28.31973  LMC132.7.12075                  
OGLE-LMC-T2CEP-012   WVir  04:54:57.38 -68:29:02.3  LMC532.03.37580  LMC134.4.4856                   
OGLE-LMC-T2CEP-013   WVir  04:55:24.40 -69:55:43.4  LMC530.26.30780  LMC136.2.15823                  
OGLE-LMC-T2CEP-014  RVTau  04:55:35.41 -69:54:04.2  LMC531.02.24248  LMC136.2.15650                  
OGLE-LMC-T2CEP-015  RVTau  04:55:43.26 -67:51:10.0  LMC532.20.10181  LMC133.4.35                     
OGLE-LMC-T2CEP-016  RVTau  04:55:45.99 -69:07:46.3  LMC531.19.44776  LMC135.3.35452                  
OGLE-LMC-T2CEP-017   WVir  04:56:16.02 -68:16:16.4  LMC532.11.5346   LMC133.1.25240                  
OGLE-LMC-T2CEP-018  BLHer  04:58:29.80 -69:24:29.2  LMC531.09.13980  LMC127.8.41912                  
OGLE-LMC-T2CEP-019  pWVir  04:58:49.43 -68:04:27.7  LMC532.09.17812  LMC125.7.27931                  
OGLE-LMC-T2CEP-020  BLHer  04:59:06.13 -67:45:24.6  LMC532.26.1587D  LMC124.8.5103                   
OGLE-LMC-T2CEP-021  pWVir  04:59:34.96 -71:15:31.2  LMC508.14.10499  LMC130.1.160                    
OGLE-LMC-T2CEP-022   WVir  04:59:58.56 -70:34:27.8  LMC508.31.16272  LMC129.2.208                    
OGLE-LMC-T2CEP-023  pWVir  05:00:13.00 -67:42:43.7  LMC511.16.73     LMC124.8.10484                  HV12509
OGLE-LMC-T2CEP-024  BLHer  05:00:55.43 -69:46:17.6  LMC509.23.2560   LMC128.3.14497                  
OGLE-LMC-T2CEP-025  RVTau  05:01:38.79 -68:35:19.0  LMC510.23.402D   LMC126.3.8347                   
OGLE-LMC-T2CEP-026   WVir  05:02:11.55 -68:20:16.0  LMC510.31.212    LMC125.1.6189                   
OGLE-LMC-T2CEP-027   WVir  05:02:53.18 -69:36:57.5  LMC509.22.7014D  LMC120.5.53                     
OGLE-LMC-T2CEP-028  pWVir  05:03:00.86 -70:07:33.7  LMC509.13.114    LMC120.8.47                     
OGLE-LMC-T2CEP-029  RVTau  05:03:04.97 -68:40:24.7  LMC510.23.23     LMC126.2.65404                  HV2281
OGLE-LMC-T2CEP-030  BLHer  05:03:35.82 -68:10:16.2  LMC510.30.32280  LMC125.2.18310                  
OGLE-LMC-T2CEP-031   WVir  05:03:56.15 -71:15:16.6  LMC508.12.11874  LMC122.8.13160                  
OGLE-LMC-T2CEP-032  RVTau  05:03:56.31 -67:27:24.7  LMC511.23.12     LMC116.6.1                      HV2275
OGLE-LMC-T2CEP-033  pWVir  05:03:59.16 -68:53:24.0  LMC510.13.334    LMC118.8.12356  LMC_SC14_174795 
OGLE-LMC-T2CEP-034   WVir  05:04:07.70 -69:07:31.6  LMC510.05.56555  LMC119.6.66126  LMC_SC14_156721 
OGLE-LMC-T2CEP-035   WVir  05:04:22.37 -69:20:42.4  LMC509.29.40703  LMC119.7.26958  LMC_SC14_139172 
OGLE-LMC-T2CEP-036   WVir  05:04:51.84 -69:23:55.8  LMC509.29.40560  LMC119.7.27037  LMC_SC14_200768 1/NGC1835
OGLE-LMC-T2CEP-037   WVir  05:05:06.68 -71:17:59.4  LMC508.12.3440D  LMC122.1.85                     
OGLE-LMC-T2CEP-038  pWVir  05:05:10.83 -68:47:47.3  LMC510.12.56258  LMC118.7.21842  LMC_SC13_30676  
OGLE-LMC-T2CEP-039   WVir  05:05:11.31 -67:12:45.3  LMC511.22.19139  LMC116.5.329                    
OGLE-LMC-T2CEP-040  pWVir  05:05:11.82 -69:45:54.8  LMC509.21.31904  LMC120.6.64155                  
OGLE-LMC-T2CEP-041  BLHer  05:05:15.21 -69:22:08.8  LMC509.29.41427  LMC119.7.41762  LMC_SC12_37723  
OGLE-LMC-T2CEP-042  pWVir  05:05:44.82 -69:14:55.9  LMC510.04.593    LMC119.6.40524  LMC_SC12_100127 
OGLE-LMC-T2CEP-043   WVir  05:06:00.46 -69:55:14.6  LMC509.21.400D   LMC120.2.167                    
OGLE-LMC-T2CEP-044   WVir  05:06:28.86 -69:43:58.8  LMC509.20.33260  LMC120.3.42370                  
OGLE-LMC-T2CEP-045  RVTau  05:06:34.05 -69:30:03.7  LMC509.28.32     LMC119.1.11                     LMV795 HV5600
OGLE-LMC-T2CEP-046   WVir  05:07:38.94 -68:20:05.9  LMC510.28.135    LMC117.1.73                     HV5598
OGLE-LMC-T2CEP-047   WVir  05:07:46.53 -69:37:00.3                   LMC120.4.22552                  
OGLE-LMC-T2CEP-048  BLHer  05:09:03.48 -68:25:27.8  LMC510.19.51229  LMC118.4.63258                  
OGLE-LMC-T2CEP-049  BLHer  05:09:21.88 -69:36:03.1  LMC509.27.979D   LMC112.5.48722  LMC_SC11_263536 
OGLE-LMC-T2CEP-050  RVTau  05:09:26.15 -68:50:05.0  LMC510.10.57562  LMC118.1.84661                  
OGLE-LMC-T2CEP-051  RVTau  05:09:41.94 -68:51:25.0  LMC510.10.144    LMC110.8.43396                  LMV810 HV5626
OGLE-LMC-T2CEP-052  pWVir  05:09:59.34 -69:58:28.7  LMC509.09.34357  LMC112.7.9733                   
OGLE-LMC-T2CEP-053  BLHer  05:10:53.62 -67:57:32.0  LMC511.01.1849   LMC109.6.25013                  
OGLE-LMC-T2CEP-054   WVir  05:11:05.36 -70:21:38.4  LMC502.25.33957  LMC113.6.17293                  
OGLE-LMC-T2CEP-055  RVTau  05:11:15.17 -67:56:00.4  LMC511.01.42     LMC109.6.24745                  HV2351
OGLE-LMC-T2CEP-056   WVir  05:11:19.34 -69:34:32.3  LMC503.16.52928  LMC112.5.75266                  
OGLE-LMC-T2CEP-057   WVir  05:11:21.14 -68:40:13.3  LMC510.18.338    LMC110.7.60635                  
OGLE-LMC-T2CEP-058  RVTau  05:11:33.52 -68:35:53.8  LMC510.18.209    LMC110.6.17187                  HV13025 LMV1699
OGLE-LMC-T2CEP-059   WVir  05:11:49.37 -70:34:11.2  LMC502.16.17594  LMC113.7.24715                  
OGLE-LMC-T2CEP-060  BLHer  05:12:17.99 -70:15:04.8  LMC502.25.18144  LMC113.4.436                    
OGLE-LMC-T2CEP-061  BLHer  05:12:30.42 -69:07:16.2  LMC503.25.28930  LMC111.6.78508  LMC_SC9_52800   
OGLE-LMC-T2CEP-062   WVir  05:13:19.11 -69:38:57.6  LMC503.07.79287  LMC112.4.366                    
OGLE-LMC-T2CEP-063   WVir  05:13:43.85 -69:50:41.1  LMC503.07.10126  LMC112.2.56955                  
OGLE-LMC-T2CEP-064  BLHer  05:13:55.88 -68:37:52.1  LMC504.07.38735  LMC110.3.8878                   
OGLE-LMC-T2CEP-065  RVTau  05:14:00.75 -68:57:56.6  LMC503.32.28     LMC111.4.56636                  
OGLE-LMC-T2CEP-066   WVir  05:14:06.05 -67:12:21.6  LMC505.07.16111  LMC108.4.215                    
OGLE-LMC-T2CEP-067  RVTau  05:14:18.12 -69:12:34.9  LMC503.24.13127  LMC111.3.23099                  LMV44 HV915
OGLE-LMC-T2CEP-068  BLHer  05:14:27.06 -68:58:01.9  LMC503.32.445    LMC111.4.67012  LMC_SC9_264013  
OGLE-LMC-T2CEP-069  BLHer  05:14:56.77 -69:40:22.4  LMC503.06.91357  LMC112.4.28478                  
OGLE-LMC-T2CEP-070   WVir  05:14:57.74 -66:40:12.9  LMC505.24.13606  LMC107.4.15280                  HV13065
OGLE-LMC-T2CEP-071  BLHer  05:15:08.64 -68:54:53.5  LMC503.31.43895  LMC110.1.23130  LMC_SC8_82008   
OGLE-LMC-T2CEP-072   WVir  05:15:24.43 -66:58:53.3  LMC505.14.13495  LMC107.2.14303                  
OGLE-LMC-T2CEP-073  BLHer  05:15:34.94 -67:20:42.8  LMC505.06.368    LMC108.3.17983                  
OGLE-LMC-T2CEP-074   WVir  05:15:48.75 -68:48:48.1  LMC503.31.24481  LMC101.8.50510                  
OGLE-LMC-T2CEP-075  RVTau  05:16:16.07 -69:43:36.8  LMC503.06.25331  LMC103.6.53296                  HV925
OGLE-LMC-T2CEP-076  BLHer  05:16:17.45 -68:14:10.5  LMC504.14.6379   LMC102.8.857                    
OGLE-LMC-T2CEP-077  BLHer  05:16:21.45 -69:36:59.2  LMC503.13.2611D  LMC103.5.1047   LMC_SC8_194670  
OGLE-LMC-T2CEP-078  pWVir  05:16:29.10 -69:24:09.0  LMC503.13.103793 LMC100.8.72375  LMC_SC8_218916  
OGLE-LMC-T2CEP-079   WVir  05:16:35.67 -68:21:01.2  LMC504.13.22304  LMC101.5.28691                  
OGLE-LMC-T2CEP-080  RVTau  05:16:47.43 -69:44:15.1  LMC503.05.83604  LMC103.6.64992                  HV2423
OGLE-LMC-T2CEP-081   WVir  05:16:51.39 -71:44:15.1  LMC501.22.12332  LMC106.7.172                    
OGLE-LMC-T2CEP-082  RVTau  05:16:55.33 -71:41:41.5  LMC501.22.14816  LMC106.7.74                     
OGLE-LMC-T2CEP-083  pWVir  05:16:59.00 -69:51:19.2  LMC503.05.70164  LMC103.7.54156                  
OGLE-LMC-T2CEP-084  BLHer  05:17:07.51 -69:27:34.1  LMC503.13.87831  LMC100.8.93186  LMC_SC8_306227  
OGLE-LMC-T2CEP-085  BLHer  05:18:12.86 -71:17:15.4  LMC501.29.22964  LMC105.8.11987                  
OGLE-LMC-T2CEP-086   WVir  05:18:17.80 -69:43:27.7  LMC503.04.92418  LMC103.6.93417  LMC_SC7_134411  
OGLE-LMC-T2CEP-087   WVir  05:18:21.65 -69:40:45.2  LMC503.04.109713 LMC103.5.47455                  
OGLE-LMC-T2CEP-088  BLHer  05:18:33.58 -70:50:19.2  LMC502.12.464D   LMC105.5.18100                  
OGLE-LMC-T2CEP-089  BLHer  05:18:35.73 -69:45:45.7  LMC503.04.93177  LMC103.6.39466  LMC_SC7_127752  
OGLE-LMC-T2CEP-090  BLHer  05:18:36.36 -67:56:30.4  LMC504.21.21705  LMC102.6.16879                  
OGLE-LMC-T2CEP-091  RVTau  05:18:45.47 -69:03:21.7  LMC503.21.103780 LMC100.5.48271                  HV2444
OGLE-LMC-T2CEP-092  BLHer  05:19:23.63 -70:02:56.8  LMC502.29.19752  LMC103.1.38744                  
OGLE-LMC-T2CEP-093  pWVir  05:19:26.45 -69:51:51.0  LMC503.04.96     LMC103.2.50784  LMC_SC7_239698  HV5756
OGLE-LMC-T2CEP-094   WVir  05:19:53.20 -69:53:09.9  LMC503.04.399    LMC103.2.51157                  
OGLE-LMC-T2CEP-095   WVir  05:20:09.84 -68:18:35.3  LMC504.11.20570  LMC102.1.509                    
OGLE-LMC-T2CEP-096   WVir  05:20:10.43 -68:48:39.2  LMC503.28.56479  LMC101.1.53540                  
OGLE-LMC-T2CEP-097   WVir  05:20:20.58 -69:12:21.0  LMC503.20.68866  LMC100.3.15603  LMC_SC6_118148  
OGLE-LMC-T2CEP-098  pWVir  05:20:24.99 -70:11:08.7  LMC502.28.44432  LMC104.4.55210  LMC_SC21_40876  
OGLE-LMC-T2CEP-099   WVir  05:20:44.48 -69:01:48.4  LMC503.20.97811  LMC100.4.30495                  
OGLE-LMC-T2CEP-100   WVir  05:21:14.64 -70:23:15.4  LMC502.20.6798   LMC104.3.17874                  
OGLE-LMC-T2CEP-101   WVir  05:21:18.87 -69:11:47.3  LMC503.20.14020  LMC100.3.32462  LMC_SC6_350603  HV5774
OGLE-LMC-T2CEP-102  BLHer  05:21:19.67 -69:56:56.2  LMC502.28.33584  LMC103.2.26384  LMC_SC6_254530  
OGLE-LMC-T2CEP-103   WVir  05:21:35.27 -70:13:25.7                   LMC104.4.21411  LMC_SC21_132285 
OGLE-LMC-T2CEP-104  RVTau  05:21:49.11 -70:04:34.2  LMC502.27.61364  LMC103.1.27711  LMC_SC6_242669  LMV916 HV5779
OGLE-LMC-T2CEP-105  BLHer  05:21:58.32 -70:16:35.1  LMC502.19.61922  LMC104.4.32947  LMC_SC21_179265 
OGLE-LMC-T2CEP-106   WVir  05:22:02.03 -69:27:25.3  LMC503.10.81181  LMC100.1.134327                 
OGLE-LMC-T2CEP-107  BLHer  05:22:05.80 -69:40:24.5  LMC503.02.110991 LMC103.4.51505  LMC_SC6_405078  
OGLE-LMC-T2CEP-108  RVTau  05:22:11.28 -68:11:31.3  LMC504.10.29045  LMC102.2.17387                  
OGLE-LMC-T2CEP-109  BLHer  05:22:12.82 -69:41:50.6  LMC503.02.100417 LMC103.3.117720                 
OGLE-LMC-T2CEP-110   WVir  05:22:19.48 -68:53:50.0  LMC503.27.46571  LMC101.1.33073                  
OGLE-LMC-T2CEP-111   WVir  05:22:22.29 -70:52:46.9  LMC502.02.36976  LMC105.3.42490                  
OGLE-LMC-T2CEP-112  RVTau  05:22:58.36 -69:26:21.0  LMC503.10.34113  LMC161.8.67145                  LMV372 HV2479
OGLE-LMC-T2CEP-113  BLHer  05:23:06.33 -69:32:20.6  LMC503.10.637    LMC161.8.18847                  
OGLE-LMC-T2CEP-115  RVTau  05:23:43.53 -69:32:06.9  LMC503.09.55719  LMC161.8.18770                  
OGLE-LMC-T2CEP-116  BLHer  05:23:55.89 -69:25:30.1  LMC503.09.86147  LMC161.8.99922  LMC_SC5_323141  
OGLE-LMC-T2CEP-117   WVir  05:24:41.50 -71:06:44.7  LMC502.01.21346  LMC164.7.11579                  
OGLE-LMC-T2CEP-118   WVir  05:25:15.05 -68:09:11.7  LMC504.08.25391  LMC159.2.112                    
