OGLE-SMC-ACEP-002  17.730 18.331  1.2255147 0.0000070  6000.69445  0.591  0.486 4.333  0.365 2.409
OGLE-SMC-ACEP-003  17.570 17.997  1.0804526 0.0000118  6000.46301  0.925  0.531 4.331  0.272 2.467
OGLE-SMC-ACEP-004  18.313 18.912  0.8382755 0.0000058  6000.58507  0.446  0.345 4.177  0.292 2.156
OGLE-SMC-ACEP-005  17.682 18.215  1.1402295 0.0000029  6000.47688  0.766  0.421 4.371  0.329 2.281
OGLE-SMC-ACEP-006  17.867 18.427  0.8339549 0.0000008  6000.81612  0.647  0.364 4.095  0.274 1.730
OGLE-SMC-ACEP-008  17.382 17.965  1.3059820 0.0000036  6000.09650  0.427  0.422 4.288  0.293 2.252
OGLE-SMC-ACEP-009  17.142 17.715  1.5579242 0.0000016  6000.90199  0.730  0.496 4.341  0.374 2.437
OGLE-SMC-ACEP-010  17.766 18.371  0.9933561 0.0000060  6000.56790  0.767  0.449 4.096  0.312 1.806
OGLE-SMC-ACEP-011  17.664 18.202  0.9364762 0.0000008  6000.00744  0.660  0.393 3.998  0.292 1.678
OGLE-SMC-ACEP-012  17.367 17.968  1.4295557 0.0000019  6001.28350  0.555  0.440 4.337  0.329 2.420
OGLE-SMC-ACEP-016  16.985 17.523  1.8637981 0.0000080  6000.55537  0.786  0.531 4.590  0.337 2.873
OGLE-SMC-ACEP-021  17.621 18.181  1.1789424 0.0000015  6000.49638  0.576  0.433 4.329  0.337 2.446
OGLE-SMC-ACEP-022  17.968 18.565  0.8856849 0.0000010  6000.08107  0.492  0.312 4.136  0.264 1.829
OGLE-SMC-ACEP-023  17.161 17.781  1.7881950 0.0000033  6001.60457  0.523  0.465 4.704  0.267 3.128
OGLE-SMC-ACEP-025  17.370 17.982  1.4703466 0.0000023  6001.21237  0.522  0.471 4.535  0.291 2.824
OGLE-SMC-ACEP-026  17.546 18.047  1.2285898 0.0000010  6000.19576  0.915  0.510 4.390  0.352 2.502
OGLE-SMC-ACEP-028  16.936 17.602  2.4954834 0.0000690  6001.43246  0.415  0.417 5.015  0.124 3.642
OGLE-SMC-ACEP-029  18.119 18.734  0.8259380 0.0000101  6000.42298  0.330  0.271 3.882  0.271 2.209
OGLE-SMC-ACEP-030  18.022 18.445  0.9802624 0.0000016  6000.10973  0.442  0.376 4.308  0.282 2.221
OGLE-SMC-ACEP-031  17.259 17.803  1.9261606 0.0000163  6000.76700  0.463  0.444 4.706  0.235 3.115
OGLE-SMC-ACEP-033  17.596 18.021  1.1304545 0.0000010  6000.17414  0.839  0.494 4.316  0.305 2.282
OGLE-SMC-ACEP-034  18.084 18.576  0.8002102 0.0000039  6000.03098  0.617  0.302 3.737  0.269 1.278
OGLE-SMC-ACEP-035  17.302 17.869  1.7897524 0.0000113  6000.35491  0.766  0.493 4.760  0.286 3.296
OGLE-SMC-ACEP-036  17.606 18.028  1.0865516 0.0000009  6000.82741  0.776  0.469 4.410  0.253 2.430
OGLE-SMC-ACEP-037  17.628 18.199  1.1138093 0.0000011  6001.01635  0.651  0.420 4.293  0.310 2.169
OGLE-SMC-ACEP-039  17.077 17.653  1.6617303 0.0000018  6000.35461  0.787  0.531 4.551  0.337 2.783
OGLE-SMC-ACEP-040  17.595 18.157  1.3109967 0.0000013  6001.24410  0.893  0.501 4.306  0.358 2.337
OGLE-SMC-ACEP-041  18.465 19.175  0.8278515 0.0000008  6000.29827  0.878  0.435 4.181  0.300 1.938
OGLE-SMC-ACEP-042  18.050 18.624  0.7943667 0.0000035  6000.03838  0.476  0.224 3.878  0.264 1.286
OGLE-SMC-ACEP-043  16.784 17.400  2.0363093 0.0000029  6000.02780  0.582  0.498 4.620  0.306 2.943
OGLE-SMC-ACEP-045  17.312 17.966  1.7270252 0.0000027  6000.99214  0.625  0.499 4.624  0.316 2.960
OGLE-SMC-ACEP-046  17.680 18.308  1.0612861 0.0000015  6000.27360  0.418  0.373 4.196  0.274 1.968
OGLE-SMC-ACEP-052  17.420 17.957  1.3191940 0.0000010  6001.25454  0.879  0.504 4.332  0.365 2.421
OGLE-SMC-ACEP-053  17.046 17.573  1.6862437 0.0000021  6001.02073  0.783  0.524 4.682  0.334 2.953
OGLE-SMC-ACEP-055  17.775 18.375  1.0908260 0.0000016  6000.28487  0.565  0.406 4.320  0.297 2.121
OGLE-SMC-ACEP-058  17.576 17.968  1.0591527 0.0000031  6000.07397  0.821  0.455 4.167  0.303 2.085
OGLE-SMC-ACEP-059  17.341 17.975  1.3757315 0.0000021  6000.23028  0.499  0.417 4.384  0.269 2.363
OGLE-SMC-ACEP-060  17.615 18.126  0.9360567 0.0000010  6000.61716  0.515  0.343 4.003  0.282 1.703
OGLE-SMC-ACEP-062  18.245 18.847  0.8297566 0.0000007  6000.08860  0.642  0.359 4.188  0.268 1.812
OGLE-SMC-ACEP-063  17.370 18.027  1.4025432 0.0000019  6000.59088  0.483  0.439 4.361  0.320 2.582
OGLE-SMC-ACEP-064  17.532 18.080  1.0458349 0.0000009  6000.84164  0.677  0.409 4.274  0.317 2.092
OGLE-SMC-ACEP-066  17.498 18.030  1.1672792 0.0000010  6001.11786  0.695  0.427 4.335  0.322 2.278
OGLE-SMC-ACEP-067  17.324 17.976  1.5900500 0.0000070  6000.27052  0.275  0.337 4.473  0.165 2.806
OGLE-SMC-ACEP-070  17.511 18.117  1.1469608 0.0000018  6000.80698  0.514  0.398 4.322  0.278 2.208
OGLE-SMC-ACEP-071  17.409 18.009  1.5540549 0.0000029  6000.19148  0.480  0.440 4.689  0.243 3.080
OGLE-SMC-ACEP-072  17.525 18.068  1.2337780 0.0000065  6000.77727  0.441  0.503 4.348  0.336 2.324
OGLE-SMC-ACEP-073  17.816 18.344  0.8853022 0.0000006  6000.19521  0.817  0.430 4.152  0.306 1.925
OGLE-SMC-ACEP-074  18.239 18.910  0.8246316 0.0000015  6000.08039  0.358  0.314 4.184  0.239 1.908
OGLE-SMC-ACEP-076  17.560 18.112  1.2994758 0.0000013  6000.29243  0.664  0.480 4.340  0.365 2.446
OGLE-SMC-ACEP-078  17.510 18.005  1.3498545 0.0000014  6001.16838  0.928  0.530 4.393  0.357 2.536
OGLE-SMC-ACEP-079  17.478 18.065  1.2583824 0.0000011  6000.01894  0.693  0.490 4.401  0.368 2.569
OGLE-SMC-ACEP-080  17.495 18.082  0.9822964 0.0000007  6000.01072  0.786  0.428 4.198  0.310 1.991
OGLE-SMC-ACEP-081  17.784 18.244  1.2563220 0.0000011  6000.16864  0.802  0.477 4.724  0.230 3.125
OGLE-SMC-ACEP-082  17.136 17.705  1.7313225 0.0000017  6000.35070  0.809  0.510 4.679  0.318 2.959
OGLE-SMC-ACEP-085  18.075 18.654  0.7993158 0.0000012  6000.16598  0.478  0.324 4.219  0.261 1.913
OGLE-SMC-ACEP-086  18.389 18.939  0.7099410 0.0000008  6000.58212  0.647  0.370 4.237  0.286 1.951
OGLE-SMC-ACEP-087  17.750 18.303  0.9233149 0.0000009  6000.54861  0.718  0.391 4.217  0.279 2.002
OGLE-SMC-ACEP-088  17.590 18.176  1.4351889 0.0000023  6000.99881  0.642  0.499 4.654  0.301 2.957
OGLE-SMC-ACEP-089  18.104 18.672  0.9119870 0.0000010  6000.79663  0.586  0.352 4.112  0.272 1.696
