OGLE-SMC-CEP-0001  17.314 17.897   1.1282584 0.0000011  6000.95346  0.514  0.419 4.095  0.264 1.946
OGLE-SMC-CEP-0005  17.196 17.768   1.2874115 0.0000014  6000.07773  0.652  0.478 4.129  0.324 2.018
OGLE-SMC-CEP-0006  17.120 17.770   1.4847727 0.0000037  6000.95008  0.243  0.359 4.237  0.154 2.309
OGLE-SMC-CEP-0007  17.124    -     1.3341989 0.0000147  6000.74032  0.485  0.426 4.185  0.297 2.203
OGLE-SMC-CEP-0009  16.814 17.384   1.6392327 0.0000017  6001.48216  0.806  0.501 4.132  0.370 2.134
OGLE-SMC-CEP-0010  16.976 17.515   1.4426110 0.0000012  6000.73557  0.729  0.493 4.129  0.353 2.064
OGLE-SMC-CEP-0011  16.946 17.592   1.3935063 0.0000010  6001.17566  0.670  0.479 4.137  0.337 2.048
OGLE-SMC-CEP-0013  15.976 16.630   2.9238729 0.0000066  6000.94403  0.562  0.505 4.554  0.312 2.862
OGLE-SMC-CEP-0014  15.491 16.201   4.4165259 0.0000119  6002.77234  0.498  0.479 4.760  0.243 3.328
OGLE-SMC-CEP-0015  16.656 17.312   1.8279108 0.0000020  6000.03298  0.720  0.501 4.209  0.383 2.226
OGLE-SMC-CEP-0016  15.335 15.961   4.8298084 0.0000231  6000.13031  0.570  0.366 5.002  0.197 3.240
OGLE-SMC-CEP-0019  15.694 16.292   3.1148307 0.0000039  6001.89360  0.737  0.493 4.313  0.288 2.337
OGLE-SMC-CEP-0023  17.398 18.056   1.2951188 0.0000044  6000.84061  0.264  0.372 4.163  0.187 2.060
OGLE-SMC-CEP-0024  17.216 17.789   1.2256194 0.0000010  6000.45364  0.745  0.483 4.075  0.323 1.923
OGLE-SMC-CEP-0026  16.855 17.344   1.3036176 0.0000009  6000.72583  0.658  0.501 4.035  0.305 1.922
OGLE-SMC-CEP-0028  17.301 17.848   1.0925618 0.0000013  6000.43328  0.728  0.455 3.989  0.309 1.800
OGLE-SMC-CEP-0029  14.920 15.672   6.6913506 0.0000237  6004.65805  0.445  0.446 4.973  0.186 3.525
OGLE-SMC-CEP-0031  16.942 17.562   1.5269121 0.0000015  6001.02764  0.638  0.487 4.195  0.352 2.167
OGLE-SMC-CEP-0032  16.785    -     1.5432891 0.0000007  6000.69306  0.808  0.481 4.135  0.358 2.043
OGLE-SMC-CEP-0035  17.231 17.875   1.3378187 0.0000041  6001.10485  0.240  0.335 4.164  0.152 2.217
OGLE-SMC-CEP-0037  17.053 17.687   1.5918392 0.0000207  6000.86763  0.447  0.462 4.298  0.270 2.388
OGLE-SMC-CEP-0038  16.937 17.597   1.4737791 0.0000012  6000.79668  0.489  0.459 4.263  0.308 2.222
OGLE-SMC-CEP-0039  15.916 16.550   2.8601644 0.0000031  6001.11910  0.726  0.536 4.424  0.337 2.635
OGLE-SMC-CEP-0040  15.952 16.680   3.3838318 0.0000069  6000.71707  0.406  0.467 4.585  0.241 2.959
OGLE-SMC-CEP-0041  15.341 16.033   4.6739541 0.0000094  6001.50305  0.565  0.492 4.692  0.272 3.170
OGLE-SMC-CEP-0042  17.120 17.649   1.2258176 0.0000012  6000.98351  0.662  0.487 4.076  0.316 1.906
OGLE-SMC-CEP-0043  17.493 18.092   1.0317372 0.0000013  6000.97479  0.527  0.393 3.870  0.279 1.481
OGLE-SMC-CEP-0046  16.583 17.220   1.9109710 0.0000019  6000.99405  0.662  0.517 4.229  0.368 2.387
OGLE-SMC-CEP-0048  16.901 17.473   1.3904256 0.0000163  6000.42615  0.911  0.476 4.279  0.348 2.355
OGLE-SMC-CEP-0049  16.683 17.333   1.9378934 0.0000037  6000.80430  0.513  0.495 4.357  0.329 2.620
OGLE-SMC-CEP-0053  17.273 17.795   1.1450995 0.0000009  6001.04700  0.727  0.452 3.934  0.288 1.672
OGLE-SMC-CEP-0054  17.052 17.647   1.4279698 0.0000015  6001.26445  0.598  0.478 4.188  0.336 2.154
OGLE-SMC-CEP-0060  15.877 16.570   3.2138986 0.0000065  6000.60158  0.627  0.535 4.473  0.324 2.734
OGLE-SMC-CEP-0061  16.848 17.485   1.8351107 0.0000017  6000.26692  0.668  0.515 4.267  0.377 2.438
OGLE-SMC-CEP-0062  16.420 17.123   2.3832373 0.0000040  6002.00733  0.545  0.512 4.484  0.321 2.810
OGLE-SMC-CEP-0067  15.370 16.011   4.6594634 0.0000185  6003.77109  0.310  0.406 4.893  0.153 3.566
OGLE-SMC-CEP-0069  17.040 17.589   1.4714919 0.0000012  6001.32886  0.708  0.473 4.244  0.357 2.211
OGLE-SMC-CEP-0071  17.264 17.836   1.3424824 0.0000015  6000.24907  0.680  0.454 4.222  0.340 2.129
OGLE-SMC-CEP-0072  17.084 17.580   1.3247768 0.0000011  6001.21691  0.782  0.474 4.132  0.332 2.036
OGLE-SMC-CEP-0073  17.252 17.821   1.0678978 0.0000007  6000.64134  0.636  0.411 3.932  0.288 1.638
OGLE-SMC-CEP-0074  16.643 17.339   1.9208993 0.0000048  6001.70096  0.254  0.316 4.396  0.124 2.743
OGLE-SMC-CEP-0077  17.381 17.988   1.1858528 0.0000021  6000.67872  0.409  0.417 4.119  0.259 1.999
OGLE-SMC-CEP-0078  15.355 16.043   4.6677202 0.0000111  6002.48192  0.519  0.479 4.776  0.242 3.283
OGLE-SMC-CEP-0082  15.324 16.092   5.2671440 0.0000386  6001.86847  0.282  0.372 5.040  0.097 3.835
OGLE-SMC-CEP-0083  16.203 16.734   2.6531081 0.0000034  6002.26902  0.779  0.513 4.668  0.309 2.991
OGLE-SMC-CEP-0084  17.195 17.870   1.3749662 0.0000035  6000.73595  0.289  0.389 4.203  0.203 2.212
OGLE-SMC-CEP-0085  16.529 17.201   2.2094268 0.0000029  6001.15584  0.526  0.501 4.460  0.300 2.753
OGLE-SMC-CEP-0087  16.934 17.547   1.3845974 0.0000011  6000.27170  0.681  0.489 4.127  0.337 2.064
OGLE-SMC-CEP-0089  17.549 18.186   1.0868823 0.0000023  6000.46896  0.354  0.385 4.107  0.228 1.887
OGLE-SMC-CEP-0090  15.953 16.541   2.5754313 0.0000021  6001.11158  0.810  0.532 4.276  0.313 2.337
OGLE-SMC-CEP-0092  16.986 17.551   0.9788702 0.0000010  6000.82615  0.585  0.470 3.973  0.321 1.717
OGLE-SMC-CEP-0095  17.490 18.118   1.0554266 0.0000016  6000.24622  0.384  0.362 3.915  0.223 1.529
OGLE-SMC-CEP-0096  17.183 17.821   1.3126397 0.0000013  6000.94721  0.449  0.457 4.164  0.273 2.031
OGLE-SMC-CEP-0097  16.729 17.367   1.7632717 0.0000033  6000.92175  0.366  0.430 4.290  0.243 2.474
OGLE-SMC-CEP-0103  15.264 16.027   4.3041835 0.0000385  6004.10494  0.164  0.261 4.818  0.048 3.635
OGLE-SMC-CEP-0104  16.768 17.411   1.8393365 0.0000027  6000.22565  0.676  0.500 4.246  0.377 2.373
OGLE-SMC-CEP-0105  16.589 17.273   1.9968024 0.0000454  6001.55896  0.520  0.475 4.324  0.317 2.449
OGLE-SMC-CEP-0110  16.924 17.564   1.7066324 0.0000021  6000.93285  0.553  0.487 4.263  0.351 2.423
OGLE-SMC-CEP-0113  16.586 17.211   1.8699798 0.0000015  6000.77600  0.757  0.529 4.178  0.374 2.333
OGLE-SMC-CEP-0116  17.133 17.777   1.1369253 0.0000022  6000.36432  0.729  0.442 4.076  0.315 1.876
OGLE-SMC-CEP-0117  14.238 15.034  10.5656969 0.0001518  6009.11619  0.360  0.131 0.040  0.139 6.273
OGLE-SMC-CEP-0118  16.006 16.607   2.7119408 0.0000043  6002.34255  0.797  0.540 4.279  0.322 2.343
OGLE-SMC-CEP-0120  17.729 18.250   0.9546851 0.0000009  6000.80384  0.579  0.343 3.800  0.289 1.432
OGLE-SMC-CEP-0121  17.240 17.847   1.2230924 0.0000015  6001.10291  0.451  0.424 4.222  0.292 2.114
OGLE-SMC-CEP-0122  17.301 17.823   1.1576001 0.0000010  6000.52855  0.748  0.441 4.015  0.302 1.831
OGLE-SMC-CEP-0123  16.453 16.897   1.6000006 0.0000013  6000.67654  0.641  0.508 4.074  0.314 2.050
