OGLE-SMC-T2CEP-01  14.770 15.285  11.9090364 0.0005787  7011.38111  0.147  0.076 5.678  0.019 3.433
OGLE-SMC-T2CEP-02  18.227 18.730   1.3721492 0.0000028  7001.23849  0.512  0.224 4.549  0.051 5.618
OGLE-SMC-T2CEP-03  17.540 18.331   4.3596664 0.0000183  7001.71653  0.423  0.260 5.797  0.102 5.278
OGLE-SMC-T2CEP-04  17.124 17.936   6.5304570 0.0002167  7001.34939  0.089  0.088 0.131  0.000   -  
OGLE-SMC-T2CEP-05  16.973 17.860   8.2071080 0.0001644  7003.99079  0.135  0.121 0.730  0.001   -  
OGLE-SMC-T2CEP-06  18.550 19.149   1.2356392 0.0000025  7000.25453  0.524  0.269 5.113  0.149 3.949
OGLE-SMC-T2CEP-07  13.668 14.436  30.9945180 0.0005476  7008.88923  0.491  0.132 5.404  0.029 3.520
OGLE-SMC-T2CEP-08  18.037 18.756   1.4897820 0.0000051  7000.82085  0.201  0.245 4.505  0.093 2.893
OGLE-SMC-T2CEP-09  17.693 18.475   2.9710736 0.0000081  7000.75046  0.366  0.204 5.405  0.118 4.313
OGLE-SMC-T2CEP-10  14.304 14.804  17.4943384 0.0010987  7002.53633  0.057  0.052 4.907  0.000   -  
OGLE-SMC-T2CEP-11  14.574 14.926   9.9231620 0.0001398  7009.30435  0.197  0.269 5.282  0.154 4.233
OGLE-SMC-T2CEP-12  15.435 16.373  28.8891097 0.0077950  7009.57876  0.098  0.148 3.299  0.098 4.667
OGLE-SMC-T2CEP-13  16.446 17.389  13.8148509 0.0008741  7011.56358  0.491  0.061 1.922  0.029 2.621
OGLE-SMC-T2CEP-14  16.533 17.515  13.8520501 0.0005718  7003.70002  0.425  0.095 1.841  0.037 2.436
OGLE-SMC-T2CEP-15  16.884 17.189   2.5703874 0.0000118  7002.49962  0.172  0.193 5.318  0.095 3.822
OGLE-SMC-T2CEP-16  18.006 18.738   2.1132080 0.0000035  7000.96113  0.492  0.171 5.608  0.075 3.462
OGLE-SMC-T2CEP-17  18.117 18.737   1.2992939 0.0000032  7000.89699  0.319  0.332 4.984  0.103 3.634
OGLE-SMC-T2CEP-18  14.854 15.762  39.6754863 0.0085937  7039.17438  0.658  0.165 5.911  0.007 5.032
OGLE-SMC-T2CEP-19  14.513 15.121  40.5955365 0.0118161  7037.50337  0.162  0.052 3.703  0.028 0.185
OGLE-SMC-T2CEP-20  14.936 15.937  50.3688257 0.0143088  7039.31841  0.588  0.124 5.830  0.054 1.169
OGLE-SMC-T2CEP-22  18.735 19.493   1.4705061 0.0000044  7000.21331  0.422  0.190 5.005  0.074 0.413
OGLE-SMC-T2CEP-23  15.259 16.034  17.6975301 0.0012747  7004.85815  0.093  0.094 4.158  0.032 3.812
OGLE-SMC-T2CEP-24  14.508 15.273  44.1187306 0.0286519  7033.47112  0.127  0.066 4.841  0.073 1.930
OGLE-SMC-T2CEP-25  15.762 16.436  14.1516176 0.0002523  7012.18992  0.513  0.240 4.970  0.075 4.558
OGLE-SMC-T2CEP-26  17.791 18.425   1.7048344 0.0000095  7000.85387  0.134  0.127 5.816  0.045   -  
OGLE-SMC-T2CEP-27  18.454 19.125   1.5417059 0.0000053  7001.40617  0.306  0.000   -    0.167 1.008
OGLE-SMC-T2CEP-28  15.056 15.920  15.2606403 0.0005147  7008.77288  0.187  0.122 5.773  0.032 5.003
OGLE-SMC-T2CEP-29  13.710 14.558  33.6492323 0.0020494  7029.71126  0.530  0.165 4.957  0.086 3.324
OGLE-SMC-T2CEP-30  16.838 17.325   3.3887063 0.0000099  7001.35277  0.248  0.168 5.288  0.101 3.495
OGLE-SMC-T2CEP-31  16.936 17.821   7.9032041 0.0004429  7002.77181  0.037  0.000   -    0.000   -  
OGLE-SMC-T2CEP-32  16.196 16.901  14.1690664 0.0004357  7004.96116  0.643  0.235 6.068  0.087 4.446
OGLE-SMC-T2CEP-33  17.553 18.131   1.8776906 0.0000024  7000.98892  0.513  0.462 4.819  0.222 3.266
OGLE-SMC-T2CEP-34  15.776    -    20.1806043 0.0007331  7002.75243  0.811  0.094 0.783  0.048 2.897
OGLE-SMC-T2CEP-35  15.885 16.746  17.1820391 0.0002214  7003.50634  0.910  0.173 6.060  0.074 4.183
OGLE-SMC-T2CEP-36  17.900 18.483   1.0916726 0.0000018  7000.66843  0.366  0.254 5.256  0.076 4.635
OGLE-SMC-T2CEP-37  17.970 18.628   1.5591042 0.0000035  7000.93185  0.486  0.237 4.807  0.091 0.717
OGLE-SMC-T2CEP-38  16.203 16.660   4.4441916 0.0000290  7003.66624  0.238  0.171 5.155  0.110 3.541
OGLE-SMC-T2CEP-39  17.810 18.541   1.8875555 0.0000135  7001.49659  0.133  0.154 5.127  0.000   -  
OGLE-SMC-T2CEP-40  16.045 16.934  16.1212187 0.0002937  7007.11059  0.861  0.052 0.447  0.058 2.896
OGLE-SMC-T2CEP-41  15.339 16.282  29.1420890 0.0072527  7005.68475  0.196  0.057 3.953  0.058 0.089
OGLE-SMC-T2CEP-42  18.212 18.901   1.4875131 0.0000025  7000.56630  0.547  0.235 4.701  0.087 0.424
OGLE-SMC-T2CEP-43  15.377 16.348  23.7636543 0.0011181  7008.97268  0.841  0.110 5.910  0.024 4.650
OGLE-SMC-T2CEP-44  15.560 16.365  22.1438674 0.0004266  7019.32296  1.025  0.235 5.942  0.091 4.752
OGLE-SMC-T2CEP-45  18.114 18.644   1.4257740 0.0000027  7001.33316  0.473  0.216 4.164  0.033 5.018
OGLE-SMC-T2CEP-46  16.243 17.168  15.0714151 0.0002976  7000.33835  0.831  0.062 0.699  0.072 2.805
